,State,Year,Deaths,Population,Crude Rate
,Alabama,1999,554,4430141,12.5
,Alabama,2000,582,4447100,13.1
,Alabama,2001,512,4467634,11.5
,Alabama,2002,513,4480089,11.5
,Alabama,2003,520,4503491,11.5
,Alabama,2004,541,4530729,11.9
,Alabama,2005,535,4569805,11.7
,Alabama,2006,579,4628981,12.5
,Alabama,2007,592,4672840,12.7
,Alabama,2008,602,4718206,12.8
,Alabama,2009,673,4757938,14.1
,Alabama,2010,679,4779736,14.2
,Alabama,2011,654,4802740,13.6
,Alabama,2012,724,4822023,15
,Alabama,2013,720,4833722,14.9
,Alabama,2014,714,4849377,14.7
,Alabama,2015,750,4858979,15.4
,Alabama,2016,788,4863300,16.2
,Alabama,2017,835,4874747,17.1
,Alabama,2018,823,4887871,16.8
,Alabama,2019,804,4903185,16.4
,Alabama,2020,793,4921532,16.1
,Alaska,1999,96,624779,15.4
,Alaska,2000,137,626932,21.9
,Alaska,2001,101,633714,15.9
,Alaska,2002,132,642337,20.5
,Alaska,2003,124,648414,19.1
,Alaska,2004,155,659286,23.5
,Alaska,2005,131,666946,19.6
,Alaska,2006,135,675302,20
,Alaska,2007,149,680300,21.9
,Alaska,2008,169,687455,24.6
,Alaska,2009,143,698895,20.5
,Alaska,2010,164,710231,23.1
,Alaska,2011,143,722718,19.8
,Alaska,2012,168,731449,23
,Alaska,2013,170,735132,23.1
,Alaska,2014,167,736732,22.7
,Alaska,2015,201,738432,27.2
,Alaska,2016,193,741894,26
,Alaska,2017,200,739795,27
,Alaska,2018,184,737438,25
,Alaska,2019,210,731545,28.7
,Alaska,2020,204,731158,27.9
,Arizona,1999,766,5023823,15.2
,Arizona,2000,783,5130632,15.3
,Arizona,2001,762,5273477,14.4
,Arizona,2002,884,5396255,16.4
,Arizona,2003,840,5510364,15.2
,Arizona,2004,879,5652404,15.6
,Arizona,2005,944,5839077,16.2
,Arizona,2006,976,6029141,16.2
,Arizona,2007,1015,6167681,16.5
,Arizona,2008,972,6280362,15.5
,Arizona,2009,1058,6343154,16.7
,Arizona,2010,1092,6392017,17.1
,Arizona,2011,1160,6482505,17.9
,Arizona,2012,1151,6553255,17.6
,Arizona,2013,1162,6626624,17.5
,Arizona,2014,1241,6731484,18.4
,Arizona,2015,1276,6828065,18.7
,Arizona,2016,1269,6931071,18.3
,Arizona,2017,1325,7016270,18.9
,Arizona,2018,1436,7171646,20
,Arizona,2019,1417,7278717,19.5
,Arizona,2020,1363,7421401,18.4
,Arkansas,1999,336,2651860,12.7
,Arkansas,2000,349,2673400,13.1
,Arkansas,2001,382,2691571,14.2
,Arkansas,2002,376,2705927,13.9
,Arkansas,2003,372,2724816,13.7
,Arkansas,2004,361,2749686,13.1
,Arkansas,2005,400,2781097,14.4
,Arkansas,2006,371,2821761,13.1
,Arkansas,2007,402,2848650,14.1
,Arkansas,2008,446,2874554,15.5
,Arkansas,2009,422,2896843,14.6
,Arkansas,2010,447,2915918,15.3
,Arkansas,2011,461,2937979,15.7
,Arkansas,2012,485,2949131,16.4
,Arkansas,2013,515,2959373,17.4
,Arkansas,2014,514,2966369,17.3
,Arkansas,2015,577,2978204,19.4
,Arkansas,2016,553,2988248,18.5
,Arkansas,2017,631,3004279,21
,Arkansas,2018,554,3013825,18.4
,Arkansas,2019,548,3017804,18.2
,Arkansas,2020,583,3030522,19.2
,California,1999,3069,33499204,9.2
,California,2000,2963,33871648,8.7
,California,2001,2819,34479458,8.2
,California,2002,3218,34871843,9.2
,California,2003,3391,35253159,9.6
,California,2004,3349,35574576,9.4
,California,2005,3195,35827943,8.9
